time,norm_cv,norm_ref,norm_l2_error_normalized_raw,norm_l2_error_normalized_phase_aligned,shape_fidelity
0.0,0.7353963610803679,1.0,1.3607409000326035e-18,0.0,1.0
0.008333333333333333,0.7349924822410664,0.9836080454985621,0.011360337491710785,0.011360337491710785,0.9998709468960193
0.016666666666666666,0.7343669884215932,0.9677534179088785,0.022429010657409557,0.022429010657409557,0.9994970027484016
0.025,0.7335144310498952,0.9524183377119907,0.03319078905513063,0.03319078905513063,0.9988986749182239
0.03333333333333333,0.7324270386135275,0.9375855060539986,0.04362636228692231,0.04362636228692231,0.9980976461127782
0.041666666666666664,0.7310950781903832,0.9232380948991453,0.053712773631982874,0.053712773631982874,0.9971170188445191
0.05,0.7295073202955203,0.9093597375565929,0.06342396551352367,0.06342396551352367,0.9959814459250252
0.058333333333333334,0.7276515922001057,0.8959345195458105,0.07273142183056855,0.07273142183056855,0.9947171359324724
0.06666666666666667,0.7255154015157028,0.8829469697664384,0.08160489030630995,0.08160489030630995,0.9933517286407437
0.075,0.7230866088433597,0.8703820519396421,0.09001316702759614,0.09001316702759614,0.991914041862532
0.08333333333333333,0.7203541257989484,0.8582251562893379,0.09792492521156812,0.09792492521156812,0.9904336976476724
0.09166666666666666,0.7173086128906504,0.846462091433208,0.10530957077349298,0.10530957077349298,0.9889406419145923
0.1,0.7139431506861311,0.8350790764551512,0.11213810824367092,0.11213810824367092,0.9874645770548585
0.10833333333333334,0.710253857595417,0.8240627331326672,0.11838400169950876,0.11838400169950876,0.9860343315991715
0.11666666666666667,0.7062404285119356,0.8134000782946644,0.12402401633346677,0.12402401633346677,0.984677194519939
0.125,0.7019065705600103,0.8030785162872586,0.12903902678064189,0.12903902678064189,0.9834182441041414
0.13333333333333333,0.6972603153044002,0.7930858315272802,0.13341477814952094,0.13341477814952094,0.9822797025483311
0.14166666666666666,0.6923141909428667,0.7834101811254135,0.1371425846942933,0.1371425846942933,0.9812803475119691
0.15,0.6870852431234955,0.7740400875630888,0.14021994921569303,0.14021994921569303,0.9804350108063902
0.15833333333333333,0.6815948989414526,0.764964431409472,0.14265108370390886,0.14265108370390886,0.9797541921430756
0.16666666666666666,0.6758686751528327,0.7561724440670514,0.1444473087307915,0.1444473087307915,0.9792438123174894
0.175,0.6699357384190483,0.7476537005364589,0.14562730612411348,0.14562730612411348,0.9789051252346644
0.18333333333333332,0.663828332138652,0.7393981121931841,0.14621719715261355,0.14621719715261355,0.9787348016777689
0.19166666666666665,0.6575810907729378,0.7313959195708091,0.1462504176098217,0.1462504176098217,0.9787251896539619
0.2,0.65123026814546,0.7236376851472102,0.14576736270891064,0.14576736270891064,0.9788647466625993
0.20833333333333334,0.644812910614844,0.7161142861319032,0.14481477952053348,0.14481477952053348,0.9791386287019094
0.21666666666666667,0.6383660089381186,0.7088169072542776,0.14344489363572532,0.14344489363572532,0.9795294099349882
0.225,0.6319256637777116,0.7017370335539032,0.14171427037952067,0.14171427037952067,0.9800178966346221
0.23333333333333334,0.6255262989818774,0.6948664431753909,0.13968242930066635,0.13968242930066635,0.9805839904912076
0.24166666666666667,0.6191999539454238,0.6881972001714136,0.13741025311599525,0.13741025311599525,0.9812075508323439
0.25,0.6129756816573715,0.6817216473184903,0.1349582570709573,0.1349582570709573,0.9818692038489854
0.2583333333333333,0.6068790727585952,0.6754323989509663,0.13238480888795737,0.13238480888795737,0.9825510502455179
0.26666666666666666,0.6009319185195074,0.6693223338193146,0.1297444091033833,0.1297444091033833,0.983237230927076
0.275,0.5951520176836452,0.6633845879794305,0.12708615198211753,0.12708615198211753,0.9839143227865331
0.2833333333333333,0.5895531242520978,0.657612547720002,0.12445248395725149,0.12445248395725149,0.9845715520313041
0.2916666666666667,0.5841450261437217,0.6519998425353264,0.12187835687957438,0.12187835687957438,0.9852008289330574
0.3,0.5789337388099973,0.6465403381511106,0.11939083746575538,0.11939083746575538,0.9857966232845813
0.30833333333333335,0.5739217937106501,0.6412281296108442,0.11700918626974141,0.11700918626974141,0.9863557122233246
0.31666666666666665,0.5691085992646334,0.6360575344303033,0.11474536701196665,0.11474536701196665,0.9868768399249189
0.325,0.5644908514590175,0.6310230858276015,0.11260490004999578,0.11260490004999578,0.987360331219422
0.3333333333333333,0.5600629724995979,0.6261195260360036,0.1105879415430645,0.1105879415430645,0.9878076985318534
0.3416666666666667,0.5558175583359043,0.6213417997064367,0.10869045858954668,0.10869045858954668,0.9882212745910933
0.35,0.5517458191109309,0.616685047406298,0.10690538136288688,0.10690538136288688,0.9886038935776653
0.35833333333333334,0.5478380000756299,0.6121445992207762,0.10522364183599008,0.10522364183599008,0.9889586325767112
0.36666666666666664,0.5440837738270793,0.6077159684624766,0.10363504705204309,0.10363504705204309,0.9892886151199226
0.375,0.5404725975450204,0.6033948454946895,0.10212897367630498,0.10212897367630498,0.9895968706675338
0.3833333333333333,0.5369940310265504,0.5991770916731641,0.10069490146090766,0.10069490146090766,0.9898862389981735
0.39166666666666666,0.5336380127191043,0.5950587334107533,0.0993228208942019,0.0993228208942019,0.9901593069180848
0.4,0.5303950917310809,0.5910359563688022,0.09800355299776599,0.09800355299776599,0.9904183661480492
0.4083333333333333,0.5272566141635439,0.5871050997786462,0.09672900879336441,0.09672900879336441,0.9906653848862588
0.4166666666666667,0.5242148623161019,0.5832626508960804,0.0954923968449466,0.0954923968449466,0.9909019902633887
0.425,0.5212631456386227,0.5795052395911857,0.09428836538373553,0.09428836538373553,0.9911294634933241
0.43333333333333335,0.5183958429454572,0.5758296330753959,0.0931130469513614,0.0931130469513614,0.991348752883721
0.44166666666666665,0.5156083965138484,0.5722327307672448,0.0919639634989674,0.0919639634989674,0.9915605111968528
0.45,0.5128972602793135,0.568711559297778,0.09083975207034636,0.09083975207034636,0.9917651627444579
0.4583333333333333,0.5102598063307138,0.5652632676561867,0.08973968701788546,0.08973968701788546,0.9919630021275002
0.4666666666666667,0.5076941961073516,0.5618851224758241,0.08866300310846863,0.08866300310846863,0.9921543212136187
0.475,0.5051992248457158,0.5585745034603843,0.08760806121248738,0.08760806121248738,0.9923395546783907
0.48333333333333334,0.5027741496146593,0.5553288989496646,0.08657143840983864,0.08657143840983864,0.9925194283612102
0.49166666666666664,0.5004185124244801,0.5521459016240148,0.0855470593580252,0.0855470593580252,0.9926950900115927
0.5,0.498131970163154,0.5490232043462615,0.08452550725586264,0.08452550725586264,0.9928681998124557
0.5083333333333333,0.4959141423629443,0.5459585961396269,0.0834936538610112,0.0834936538610112,0.993040959138261
0.5166666666666666,0.4937644860181862,0.5429499582999094,0.0824347256861076,0.0824347256861076,0.9932160606517515
0.525,0.49168220398113244,0.5399952606399588,0.0813288798656731,0.0813288798656731,0.9933965508276503
0.5333333333333333,0.4896661901066479,0.5370925578642884,0.08015430561625109,0.08015430561625109,0.9935856065245238
0.5416666666666666,0.4877150106490875,0.5342399860714739,0.07888880634850226,0.07888880634850226,0.9937862390459892
0.55,0.48582691784602183,0.5314357593818435,0.077511764037342,0.077511764037342,0.9940009506728078
0.5583333333333333,0.48399988857005666,0.5286781666878179,0.07600634891255577,0.07600634891255577,0.9942313782563518
0.5666666666666667,0.4822316787592321,0.5259655685241519,0.07436181611149359,0.07436181611149359,0.9944779646439833
0.575,0.4805198833162954,0.5232963940552259,0.07257572326050925,0.07257572326050925,0.9947397003359482
0.5833333333333334,0.4788619914281422,0.5206691381764635,0.07065590126825527,0.07065590126825527,0.9950139742719211
0.5916666666666667,0.47725542877219634,0.5180823587268834,0.06862200486551649,0.06862200486551649,0.9952965640703417
0.6,0.47569758066274376,0.5155346738097502,0.06650644984393769,0.06650644984393769,0.9955817830999649
0.6083333333333333,0.47418579352740065,0.5130247592182623,0.06435450469371888,0.06435450469371888,0.9958627857358984
0.6166666666666667,0.4727173557741039,0.5105513459631819,0.0622232497261075,0.0622232497261075,0.9961320147722535
0.625,0.47128946264732435,0.5081132178993208,0.060179071406987514,0.060179071406987514,0.9963817582175211
0.6333333333333333,0.4698991726239021,0.5057092094477929,0.05829338039254486,0.05829338039254486,0.9966047686042314
0.6416666666666666,0.46854336487621745,0.5033382034109534,0.05663641940981763,0.05663641940981763,0.9967948883056018
0.65,0.46721870806171684,0.5009991288769794,0.05526945172779518,0.05526945172779518,0.9969476205225094
0.6583333333333333,0.465921650063198,0.4986909592110661,0.05423628791500212,0.05423628791500212,0.9970605882889638
0.6666666666666666,0.46464843635233866,0.4964127101302566,0.053555799929060476,0.053555799929060476,0.9971338329707659
0.675,0.46339516159265154,0.4941634378589685,0.053217353890973235,0.053217353890973235,0.99716991842369
0.6833333333333333,0.4621578552894395,0.49194223736232556,0.053180579147482976,0.053180579147482976,0.9971738256435801
0.6916666666666667,0.4609325981811329,0.48974824065445893,0.05337964475126461,0.05337964475126461,0.9971526432770481
0.7,0.4597156621367529,0.48758061517900353,0.05373085021477822,0.05373085021477822,0.9971150794336034
0.7083333333333334,0.4585036630464252,0.4854385622590745,0.05414157872175606,0.05414157872175606,0.9970708375988959
0.7166666666666667,0.4572937139575561,0.4833213156140673,0.054518771191197996,0.054518771191197996,0.9970299122242924
0.725,0.45608356478786,0.48122813994070834,0.05477576185409248,0.05477576185409248,0.9970018664894701
0.7333333333333333,0.45487171545537697,0.4791583295558293,0.054837080713408,0.054837080713408,0.9969951552495846
0.7416666666666667,0.4536574911599745,0.47711120709842686,0.05464135893560299,0.05464135893560299,0.9970165504621094
0.75,0.4524410716321228,0.47508612228863284,0.054142710149940834,0.054142710149940834,0.9970707152625692
0.7583333333333333,0.4512234701062114,0.47308245074128635,0.053310990236884966,0.053310990236884966,0.997159957648611
0.7666666666666666,0.4500064621613043,0.4710995928318819,0.05213127022566415,0.05213127022566415,0.9972841770963126
0.775,0.44879246894328595,0.46913697261273063,0.05060276704588568,0.05060276704588568,0.9974409991866442
0.7833333333333333,0.4475844031877603,0.4671940367772434,0.04873740126826295,0.04873740126826295,0.9976260762708544
0.7916666666666666,0.4463854895080009,0.4652702536703228,0.046558100114377686,0.046558100114377686,0.9978335179976173
0.8,0.44519907230034383,0.4633651123429097,0.04409693643826026,0.04409693643826026,0.9980564055055213
0.8083333333333333,0.44402842518467106,0.4614781216488097,0.041393185032180285,0.041393185032180285,0.9982873381641554
0.8166666666666667,0.4428765751220253,0.45960880938198206,0.03849138182068937,0.03849138182068937,0.9985189623001539
0.825,0.4417461523660171,0.4577567214525518,0.035439486640489806,0.035439486640489806,0.9987444371437887
0.8333333333333334,0.4406392744729845,0.45592142109986294,0.03228727674761447,0.03228727674761447,0.9989578034452303
0.8416666666666667,0.4395574690809441,0.45410248814095466,0.029085140982298367,0.029085140982298367,0.9991542334799558
0.85,0.43850163648599916,0.45229951825291015,0.025883516835781765,0.025883516835781765,0.9993301557666208
0.8583333333333333,0.4374720496147942,0.45051212228758586,0.02273334279530611,0.02273334279530611,0.999483261897171
0.8666666666666667,0.436468386178755,0.44873992561728104,0.019688140420784834,0.019688140420784834,0.9996124146896438
0.875,0.43548978586919795,0.44698256750998405,0.016808774621700013,0.016808774621700013,0.9997174850522096
0.8833333333333333,0.43453492455282894,0.4452397005328606,0.014172557913317044,0.014172557913317044,0.9997991486885189
0.8916666666666666,0.43360209755466655,0.44351098998273125,0.01188831586284784,0.01188831586284784,0.9998586729396323
0.9,0.4326893051360813,0.4417961133423129,0.010113528087598517,0.010113528087598517,0.9998977191650973
0.9083333333333333,0.4317943349466188,0.44009475976107615,0.009045633625242518,0.009045633625242518,0.999918178186089
0.9166666666666666,0.43091483823699167,0.43840662955958654,0.008829192133499341,0.008829192133499341,0.9999220468855008
0.9249999999999999,0.43004839863159317,0.43673143375627943,0.009415800765944124,0.009415800765944124,0.9999113446609654
0.9333333333333333,0.4291925939618517,0.4350688936156426,0.010580292808938284,0.010580292808938284,0.9998880605368631
0.9416666666666667,0.4283450528142441,0.4334187402168237,0.012078443112226674,0.012078443112226674,0.9998541165328696
0.95,0.42750350790557284,0.43178071404174095,0.013736004940362203,0.013736004940362203,0.9998113310681094
0.9583333333333334,0.42666584813590597,0.4301545645817931,0.015448181954415583,0.015448181954415583,0.9997613679123207
0.9666666666666667,0.4258301702749614,0.4285400499623189,0.017156939588023442,0.017156939588023442,0.9997056610860097
0.975,0.4249948298990085,0.4269369365839944,0.01883396319182966,0.01883396319182966,0.9996453132867333
0.9833333333333333,0.42415848967109804,0.4253449987803803,0.020471205287027956,0.020471205287027956,0.9995809736590643
0.9916666666666667,0.4233201616373292,0.4237640184908813,0.022076021626418293,0.022076021626418293,0.9995127086468337
1.0,0.42247923917437863,0.4221937849484,0.02366838690521089,0.02366838690521089,0.9994398859152253
