boundary,r_target,r_prime,beta,n_coeff,n_fock,n_quad,coeff_backend,total_time,evaluation,state_prep_method,oracle_fidelity,oracle_fidelity_basis,rel_frobenius_error,rel_spectral_error,worst_scaled_relative_error,worst_conditional_fidelity,p_min,p_max,alpha_target_re,alpha_target_im,best_fit_scale_re,best_fit_scale_im,best_fit_rel_frobenius_error,per_input,case,n_trotter_steps,p_succ,system_label,dv_dim,target_state_prep_method,worst_input_name,p_ref,p_target_model,inv_p_succ,eps_model,eps_synth,eps_t,eps_tot,eps_model_fro,eps_synth_fro,eps_t_fro,eps_tot_fro,alpha_prepared_re,alpha_prepared_im,static_footprint,per_attempt_ops,accepted_sample_ops,resource_ledger,compiled_width,compiled_depth,compiled_count_ops,compiled_resources,Gamma_1,Gamma_1_LL,Gamma_1_LH,Gamma_1_HH,eps_t_bound,coefficient_artifact,coefficient_sha256,raw_artifact,candidate_id,wiring_crosscheck_relative_error
dirichlet,1.4,0.4,0.5,12,16,240,explicit_overlap,0.25,exact_finite_map,ideal_injection,1.0,by_construction,0.06561202473509373,0.07985862895035754,0.07097987759755996,0.9971772868348517,0.29709559852750317,0.3546455244223684,1.211840841054047,0.0,1.160976885959043,2.2762072641769813e-16,0.048888564592801866,"[{""conditional_fidelity"": 0.9971772868348519, ""index"": 0, ""scaled_relative_error"": 0.0590378430812772, ""success_probability"": 0.2970955985275033}, {""conditional_fidelity"": 0.9984862447202201, ""index"": 1, ""scaled_relative_error"": 0.07097987759755996, ""success_probability"": 0.35464552442236824}, {""conditional_fidelity"": 0.9984862447202201, ""index"": 2, ""scaled_relative_error"": 0.07097987759755994, ""success_probability"": 0.3546455244223684}, {""conditional_fidelity"": 0.9971772868348517, ""index"": 3, ""scaled_relative_error"": 0.059037843081277123, ""success_probability"": 0.29709559852750317}]",scaling_dense_model,,0.35464552442236824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dirichlet,1.4,0.4,0.5,12,16,240,explicit_overlap,0.5,exact_finite_map,ideal_injection,1.0,by_construction,0.09495743205916288,0.09919571930387257,0.09693499867187136,0.9916439490504476,0.14869922861487067,0.2369625717771591,1.211840841054047,0.0,1.1537126398038993,2.723635594403992e-16,0.08059090300069344,"[{""conditional_fidelity"": 0.9916439490504477, ""index"": 0, ""scaled_relative_error"": 0.09211702094301503, ""success_probability"": 0.14869922861487073}, {""conditional_fidelity"": 0.9964196422756476, ""index"": 1, ""scaled_relative_error"": 0.09693499867187103, ""success_probability"": 0.23696257177715893}, {""conditional_fidelity"": 0.9964196422756474, ""index"": 2, ""scaled_relative_error"": 0.09693499867187136, ""success_probability"": 0.2369625717771591}, {""conditional_fidelity"": 0.9916439490504476, ""index"": 3, ""scaled_relative_error"": 0.09211702094301523, ""success_probability"": 0.14869922861487067}]",scaling_dense_model,,0.23696257177715893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dirichlet,1.4,0.4,0.5,12,16,240,explicit_overlap,0.75,exact_finite_map,ideal_injection,1.0,by_construction,0.1110179780724615,0.09572254967434406,0.11422890032754318,0.991213348081403,0.09887839067072826,0.17297537053472803,1.211840841054047,0.0,1.1408944530114822,2.1470642360633257e-16,0.09214589312672285,"[{""conditional_fidelity"": 0.9920656757216967, ""index"": 0, ""scaled_relative_error"": 0.10526427652573306, ""success_probability"": 0.09887839067072829}, {""conditional_fidelity"": 0.9912133480814032, ""index"": 1, ""scaled_relative_error"": 0.11422890032754296, ""success_probability"": 0.1729753705347279}, {""conditional_fidelity"": 0.991213348081403, ""index"": 2, ""scaled_relative_error"": 0.11422890032754318, ""success_probability"": 0.17297537053472803}, {""conditional_fidelity"": 0.9920656757216961, ""index"": 3, ""scaled_relative_error"": 0.10526427652573335, ""success_probability"": 0.09887839067072826}]",scaling_dense_model,,0.1729753705347279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dirichlet,1.4,0.4,0.5,12,16,240,explicit_overlap,1.0,exact_finite_map,ideal_injection,1.0,by_construction,0.22098062480484473,0.18057518956839838,0.2603572926757066,0.9322757253407875,0.05571554804511135,0.12287973284959339,1.211840841054047,0.0,1.1936356270045037,2.961522756594774e-16,0.2204793050570243,"[{""conditional_fidelity"": 0.9322757253407875, ""index"": 0, ""scaled_relative_error"": 0.26035729267570645, ""success_probability"": 0.05571554804511135}, {""conditional_fidelity"": 0.9613144772700776, ""index"": 1, ""scaled_relative_error"": 0.19835950746720357, ""success_probability"": 0.12287973284959323}, {""conditional_fidelity"": 0.9613144772700781, ""index"": 2, ""scaled_relative_error"": 0.19835950746720313, ""success_probability"": 0.12287973284959339}, {""conditional_fidelity"": 0.932275725340788, ""index"": 3, ""scaled_relative_error"": 0.2603572926757066, ""success_probability"": 0.05571554804511138}]",scaling_dense_model,,0.12287973284959323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dirichlet,1.4,0.4,0.5,12,16,240,explicit_overlap,1.25,exact_finite_map,ideal_injection,1.0,by_construction,0.5436063927851318,0.4900513679753308,0.7612965733684081,0.5919066496361057,0.062133533676244045,0.10420341130338164,1.211840841054047,0.0,0.9711346402659146,3.001187870200746e-16,0.49939411410009615,"[{""conditional_fidelity"": 0.5919066496361058, ""index"": 0, ""scaled_relative_error"": 0.761296573368408, ""success_probability"": 0.062133533676244045}, {""conditional_fidelity"": 0.8456562754003382, ""index"": 1, ""scaled_relative_error"": 0.4084730623594053, ""success_probability"": 0.10420341130338157}, {""conditional_fidelity"": 0.8456562754003382, ""index"": 2, ""scaled_relative_error"": 0.4084730623594052, ""success_probability"": 0.10420341130338164}, {""conditional_fidelity"": 0.5919066496361057, ""index"": 3, ""scaled_relative_error"": 0.7612965733684081, ""success_probability"": 0.062133533676244086}]",scaling_dense_model,,0.10420341130338157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dirichlet,1.4,0.4,0.5,12,16,240,explicit_overlap,1.5,exact_finite_map,ideal_injection,1.0,by_construction,0.37436863615222377,0.34196354788764155,0.40608404495871264,0.8365036392500725,0.030746779142767466,0.07696308394614061,1.211840841054047,0.0,1.156264895821719,4.701269215081698e-16,0.3716998943969573,"[{""conditional_fidelity"": 0.8365036392500725, ""index"": 0, ""scaled_relative_error"": 0.40608404495871264, ""success_probability"": 0.030746779142767466}, {""conditional_fidelity"": 0.8726215485986839, ""index"": 1, ""scaled_relative_error"": 0.3600550233387951, ""success_probability"": 0.07696308394614061}, {""conditional_fidelity"": 0.8726215485986839, ""index"": 2, ""scaled_relative_error"": 0.3600550233387951, ""success_probability"": 0.07696308394614061}, {""conditional_fidelity"": 0.8365036392500727, ""index"": 3, ""scaled_relative_error"": 0.40608404495871236, ""success_probability"": 0.030746779142767505}]",scaling_dense_model,,0.07696308394614061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dirichlet,1.4,0.4,0.5,12,16,240,explicit_overlap,1.75,exact_finite_map,ideal_injection,1.0,by_construction,0.4758746650397898,0.3619211943091158,0.7439182304391769,0.5670191465987645,0.03230684678460913,0.060911135373165184,1.211840841054047,0.0,1.0693385753850686,7.250996419311133e-16,0.46094592632211884,"[{""conditional_fidelity"": 0.5670191465987645, ""index"": 0, ""scaled_relative_error"": 0.7439182304391767, ""success_probability"": 0.03230684678460913}, {""conditional_fidelity"": 0.907023986824597, ""index"": 1, ""scaled_relative_error"": 0.3051631725665109, ""success_probability"": 0.060911135373165115}, {""conditional_fidelity"": 0.907023986824598, ""index"": 2, ""scaled_relative_error"": 0.3051631725665103, ""success_probability"": 0.060911135373165184}, {""conditional_fidelity"": 0.5670191465987651, ""index"": 3, ""scaled_relative_error"": 0.7439182304391769, ""success_probability"": 0.03230684678460916}]",scaling_dense_model,,0.060911135373165115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dirichlet,1.4,0.4,0.5,12,16,240,explicit_overlap,2.0,exact_finite_map,ideal_injection,1.0,by_construction,0.5203529925894731,0.46685046020595855,0.5930700132488315,0.7155938354777445,0.02615686948021653,0.0638152680479584,1.211840841054047,0.0,0.9754495778781718,6.786729643694618e-16,0.47462399441836883,"[{""conditional_fidelity"": 0.7155938354777447, ""index"": 0, ""scaled_relative_error"": 0.5930700132488314, ""success_probability"": 0.02615686948021653}, {""conditional_fidelity"": 0.799323672052665, ""index"": 1, ""scaled_relative_error"": 0.4884411649300104, ""success_probability"": 0.06381526804795837}, {""conditional_fidelity"": 0.7993236720526655, ""index"": 2, ""scaled_relative_error"": 0.4884411649300099, ""success_probability"": 0.0638152680479584}, {""conditional_fidelity"": 0.7155938354777445, ""index"": 3, ""scaled_relative_error"": 0.5930700132488315, ""success_probability"": 0.026156869480216557}]",scaling_dense_model,,0.06381526804795837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dirichlet,1.4,0.4,0.5,12,16,240,explicit_overlap,1.0,"[""exact_finite_map"", ""circuit_statevector""]",law_eberly,1.0,,0.2254936655442734,0.1834124275663893,0.27018379957067645,0.927093259909576,0.05744900519724693,0.12096917696944734,1.211840841054047,0.0,1.1929727421467144,1.528559207452211e-14,0.22496645559986145,"[{""conditional_fidelity"": 0.927093259909576, ""index"": 0, ""name"": ""basis_0"", ""scaled_relative_error"": 0.27018379957067645, ""success_probability"": 0.05744900519724749}, {""conditional_fidelity"": 0.960571836564615, ""index"": 1, ""name"": ""basis_1"", ""scaled_relative_error"": 0.1994008368214146, ""success_probability"": 0.12096917696944734}, {""conditional_fidelity"": 0.9605718365646149, ""index"": 2, ""name"": ""basis_2"", ""scaled_relative_error"": 0.19940083682141477, ""success_probability"": 0.12096917696944708}, {""conditional_fidelity"": 0.9270932599095766, ""index"": 3, ""name"": ""basis_3"", ""scaled_relative_error"": 0.27018379957067523, ""success_probability"": 0.05744900519724693}]",scaling_dense_circuit,25,0.12096917696944734,dirichlet_heat_4d,4,ideal_injection,basis_0,0.12137591082898853,0.12287973284959323,8.266568600797918,0.12324586251366583,1.5504650855259802e-16,0.01048388520588305,0.12518232922902536,0.16162067747477069,2.2401218479918906e-16,0.01836848471770059,0.16492142251711028,1.2118408410540469,1.5248108726701702e-16,"{""le_aux_qubits"": 1, ""n_dv_qubits"": 2, ""physical_qumodes"": 1, ""simulator_qubits_per_qumode"": 4}",{},{},[],,,{},[],60.000000000000014,60.000000000000014,0.0,0.0,1.2000000000000002,results_revision/coefficients_dirichlet_r1p4_rp0p4_b0p5_N12.json,970d00e3485fdaafc22b762fbea3fdc7d2c66b73ade3fe365108e20fe088b820,results_revision/viz_dense/scaling_dense_T1.0_N12_NF16_nt25_raw.npz,T1.0_N12_NF16_nt25,1.144230889189815e-14
dirichlet,1.4,0.4,0.5,12,16,240,explicit_overlap,1.0,"[""exact_finite_map"", ""circuit_statevector""]",law_eberly,1.0,,0.2232857268575478,0.18202053646582678,0.2663547430649643,0.9290751444499521,0.05696325714214547,0.12153998357592649,1.211840841054047,0.0,1.193305573061444,2.076342921622273e-14,0.22277168601408703,"[{""conditional_fidelity"": 0.9290751444499521, ""index"": 0, ""name"": ""basis_0"", ""scaled_relative_error"": 0.2663547430649643, ""success_probability"": 0.0569632571421463}, {""conditional_fidelity"": 0.9611105146886636, ""index"": 1, ""name"": ""basis_1"", ""scaled_relative_error"": 0.19824760311005532, ""success_probability"": 0.12153998357592621}, {""conditional_fidelity"": 0.9611105146886636, ""index"": 2, ""name"": ""basis_2"", ""scaled_relative_error"": 0.1982476031100556, ""success_probability"": 0.12153998357592649}, {""conditional_fidelity"": 0.9290751444499538, ""index"": 3, ""name"": ""basis_3"", ""scaled_relative_error"": 0.26635474306496154, ""success_probability"": 0.05696325714214547}]",scaling_dense_circuit,35,0.12153998357592621,dirichlet_heat_4d,4,ideal_injection,basis_0,0.12137591082898853,0.12287973284959323,8.227745064448676,0.12324586251366583,1.5504650855259802e-16,0.007421696624131655,0.12423233814983035,0.16162067747477069,2.2401218479918906e-16,0.013097799379719452,0.1633065816382482,1.2118408410540469,1.5248108726701702e-16,"{""le_aux_qubits"": 1, ""n_dv_qubits"": 2, ""physical_qumodes"": 1, ""simulator_qubits_per_qumode"": 4}",{},{},[],,,{},[],60.000000000000014,60.000000000000014,0.0,0.0,0.8571428571428573,results_revision/coefficients_dirichlet_r1p4_rp0p4_b0p5_N12.json,970d00e3485fdaafc22b762fbea3fdc7d2c66b73ade3fe365108e20fe088b820,results_revision/viz_dense/scaling_dense_T1.0_N12_NF16_nt35_raw.npz,T1.0_N12_NF16_nt35,1.3755952652160967e-14
dirichlet,1.4,0.4,0.5,12,16,240,explicit_overlap,1.0,"[""exact_finite_map"", ""circuit_statevector""]",law_eberly,1.0,,0.22211078007493018,0.181282826810966,0.264007794268048,0.9303003619967514,0.05659383866937683,0.12195590582501346,1.211840841054047,0.0,1.1934760209490596,2.926773353851109e-14,0.22160335272388604,"[{""conditional_fidelity"": 0.9303003619967514, ""index"": 0, ""name"": ""basis_0"", ""scaled_relative_error"": 0.264007794268048, ""success_probability"": 0.056593838669377054}, {""conditional_fidelity"": 0.9613400588076499, ""index"": 1, ""name"": ""basis_1"", ""scaled_relative_error"": 0.1978379473454326, ""success_probability"": 0.12195590582501281}, {""conditional_fidelity"": 0.9613400588076502, ""index"": 2, ""name"": ""basis_2"", ""scaled_relative_error"": 0.19783794734543292, ""success_probability"": 0.12195590582501346}, {""conditional_fidelity"": 0.9303003619967534, ""index"": 3, ""name"": ""basis_3"", ""scaled_relative_error"": 0.26400779426804427, ""success_probability"": 0.05659383866937683}]",scaling_dense_circuit,50,0.12195590582501281,dirichlet_heat_4d,4,ideal_injection,basis_0,0.12137591082898853,0.12287973284959323,8.199684904434557,0.12324586251366583,1.5504650855259802e-16,0.005162371839276254,0.12372883784663097,0.16162067747477069,2.2401218479918906e-16,0.009159973401671668,0.16244724976165872,1.2118408410540469,1.5248108726701702e-16,"{""le_aux_qubits"": 1, ""n_dv_qubits"": 2, ""physical_qumodes"": 1, ""simulator_qubits_per_qumode"": 4}",{},{},[],,,{},[],60.000000000000014,60.000000000000014,0.0,0.0,0.6000000000000001,results_revision/coefficients_dirichlet_r1p4_rp0p4_b0p5_N12.json,970d00e3485fdaafc22b762fbea3fdc7d2c66b73ade3fe365108e20fe088b820,results_revision/viz_dense/scaling_dense_T1.0_N12_NF16_nt50_raw.npz,T1.0_N12_NF16_nt50,2.2847712032022982e-14
dirichlet,1.4,0.4,0.5,12,16,240,explicit_overlap,1.0,"[""exact_finite_map"", ""circuit_statevector""]",law_eberly,1.0,,0.22154126349004952,0.180925990053055,0.26265780494821833,0.9310144010242126,0.05633638026041576,0.12223621292248943,1.211840841054047,0.0,1.1935569820525063,4.159093188448317e-14,0.22103694481519395,"[{""conditional_fidelity"": 0.9310144010242126, ""index"": 0, ""name"": ""basis_0"", ""scaled_relative_error"": 0.26265780494821833, ""success_probability"": 0.0563363802604168}, {""conditional_fidelity"": 0.9614133857746272, ""index"": 1, ""name"": ""basis_1"", ""scaled_relative_error"": 0.19777909790744524, ""success_probability"": 0.12223621292248943}, {""conditional_fidelity"": 0.9614133857746275, ""index"": 2, ""name"": ""basis_2"", ""scaled_relative_error"": 0.19777909790744402, ""success_probability"": 0.12223621292248919}, {""conditional_fidelity"": 0.9310144010242141, ""index"": 3, ""name"": ""basis_3"", ""scaled_relative_error"": 0.26265780494821667, ""success_probability"": 0.05633638026041576}]",scaling_dense_circuit,71,0.12223621292248943,dirichlet_heat_4d,4,ideal_injection,basis_0,0.12137591082898853,0.12287973284959323,8.180881721475656,0.12324586251366583,1.5504650855259802e-16,0.003620272685969657,0.12348529024681709,0.16162067747477069,2.2401218479918906e-16,0.006447773629486604,0.16203071706173167,1.2118408410540469,1.5248108726701702e-16,"{""le_aux_qubits"": 1, ""n_dv_qubits"": 2, ""physical_qumodes"": 1, ""simulator_qubits_per_qumode"": 4}",{},{},[],,,{},[],60.000000000000014,60.000000000000014,0.0,0.0,0.42253521126760574,results_revision/coefficients_dirichlet_r1p4_rp0p4_b0p5_N12.json,970d00e3485fdaafc22b762fbea3fdc7d2c66b73ade3fe365108e20fe088b820,results_revision/viz_dense/scaling_dense_T1.0_N12_NF16_nt71_raw.npz,T1.0_N12_NF16_nt71,2.7406296858376304e-14
dirichlet,1.4,0.4,0.5,12,16,240,explicit_overlap,1.0,"[""exact_finite_map"", ""circuit_statevector""]",law_eberly,1.0,,0.22126328133690662,0.18075199350295312,0.2618567838142889,0.9314442041917163,0.056157448385671264,0.12242636990824507,1.211840841054047,0.0,1.193596107243069,5.872793455303055e-14,0.22076045719859042,"[{""conditional_fidelity"": 0.9314442041917163, ""index"": 0, ""name"": ""basis_0"", ""scaled_relative_error"": 0.2618567838142889, ""success_probability"": 0.05615744838567248}, {""conditional_fidelity"": 0.9614240799277889, ""index"": 1, ""name"": ""basis_1"", ""scaled_relative_error"": 0.19784375593967873, ""success_probability"": 0.12242636990824507}, {""conditional_fidelity"": 0.9614240799277894, ""index"": 2, ""name"": ""basis_2"", ""scaled_relative_error"": 0.19784375593967712, ""success_probability"": 0.12242636990824468}, {""conditional_fidelity"": 0.9314442041917214, ""index"": 3, ""name"": ""basis_3"", ""scaled_relative_error"": 0.26185678381428024, ""success_probability"": 0.056157448385671264}]",scaling_dense_circuit,100,0.12242636990824507,dirichlet_heat_4d,4,ideal_injection,basis_0,0.12137591082898853,0.12287973284959323,8.168174885439063,0.12324586251366583,1.5504650855259802e-16,0.002563182252515389,0.12336653442580443,0.16162067747477069,2.2401218479918906e-16,0.004576907642140474,0.1618274066404831,1.2118408410540469,1.5248108726701702e-16,"{""le_aux_qubits"": 1, ""n_dv_qubits"": 2, ""physical_qumodes"": 1, ""simulator_qubits_per_qumode"": 4}",{},{},[],,,{},[],60.000000000000014,60.000000000000014,0.0,0.0,0.30000000000000004,results_revision/coefficients_dirichlet_r1p4_rp0p4_b0p5_N12.json,970d00e3485fdaafc22b762fbea3fdc7d2c66b73ade3fe365108e20fe088b820,results_revision/viz_dense/scaling_dense_T1.0_N12_NF16_nt100_raw.npz,T1.0_N12_NF16_nt100,2.9043649942265644e-14
dirichlet,1.4,0.4,0.5,12,16,240,explicit_overlap,1.0,"[""exact_finite_map"", ""circuit_statevector""]",law_eberly,1.0,,0.22112280880391913,0.18066411187907785,0.26135268295843345,0.931718475993432,0.05602950168873088,0.12256000706579635,1.211840841054047,0.0,1.1936157806504955,8.241507784681323e-14,0.22062073422868722,"[{""conditional_fidelity"": 0.931718475993432, ""index"": 0, ""name"": ""basis_0"", ""scaled_relative_error"": 0.26135268295843345, ""success_probability"": 0.05602950168873351}, {""conditional_fidelity"": 0.9614120014145682, ""index"": 1, ""name"": ""basis_1"", ""scaled_relative_error"": 0.19794168373421892, ""success_probability"": 0.12256000706579608}, {""conditional_fidelity"": 0.9614120014145685, ""index"": 2, ""name"": ""basis_2"", ""scaled_relative_error"": 0.19794168373421855, ""success_probability"": 0.12256000706579635}, {""conditional_fidelity"": 0.9317184759934375, ""index"": 3, ""name"": ""basis_3"", ""scaled_relative_error"": 0.2613526829584232, ""success_probability"": 0.05602950168873088}]",scaling_dense_circuit,141,0.12256000706579608,dirichlet_heat_4d,4,ideal_injection,basis_0,0.12137591082898853,0.12287973284959323,8.15926845910797,0.12324586251366583,1.5504650855259802e-16,0.0018143001020719922,0.12330655361360372,0.16162067747477069,2.2401218479918906e-16,0.0032456707852431353,0.16172466792314943,1.2118408410540469,1.5248108726701702e-16,"{""le_aux_qubits"": 1, ""n_dv_qubits"": 2, ""physical_qumodes"": 1, ""simulator_qubits_per_qumode"": 4}",{},{},[],,,{},[],60.000000000000014,60.000000000000014,0.0,0.0,0.21276595744680857,results_revision/coefficients_dirichlet_r1p4_rp0p4_b0p5_N12.json,970d00e3485fdaafc22b762fbea3fdc7d2c66b73ade3fe365108e20fe088b820,results_revision/viz_dense/scaling_dense_T1.0_N12_NF16_nt141_raw.npz,T1.0_N12_NF16_nt141,4.489216056679546e-14
dirichlet,1.4,0.4,0.5,12,16,240,explicit_overlap,1.0,"[""exact_finite_map"", ""circuit_statevector""]",law_eberly,1.0,,0.22105129628485318,0.18061938395344107,0.261024333579375,0.9318994035388207,0.05593715950512583,0.12265525083874784,1.211840841054047,0.0,1.1936257709158258,1.176253372415279e-13,0.22054960184180206,"[{""conditional_fidelity"": 0.9318994035388207, ""index"": 0, ""name"": ""basis_0"", ""scaled_relative_error"": 0.261024333579375, ""success_probability"": 0.0559371595051283}, {""conditional_fidelity"": 0.9613932408127466, ""index"": 1, ""name"": ""basis_1"", ""scaled_relative_error"": 0.19803865198686668, ""success_probability"": 0.12265525083874784}, {""conditional_fidelity"": 0.9613932408127464, ""index"": 2, ""name"": ""basis_2"", ""scaled_relative_error"": 0.1980386519868672, ""success_probability"": 0.12265525083874691}, {""conditional_fidelity"": 0.931899403538829, ""index"": 3, ""name"": ""basis_3"", ""scaled_relative_error"": 0.2610243335793602, ""success_probability"": 0.05593715950512583}]",scaling_dense_circuit,200,0.12265525083874784,dirichlet_heat_4d,4,ideal_injection,basis_0,0.12137591082898853,0.12287973284959323,8.152932656056265,0.12324586251366583,1.5504650855259802e-16,0.001277304459059708,0.12327602598803829,0.16162067747477069,2.2401218479918906e-16,0.0022880675391727307,0.16167236513963812,1.2118408410540469,1.5248108726701702e-16,"{""le_aux_qubits"": 1, ""n_dv_qubits"": 2, ""physical_qumodes"": 1, ""simulator_qubits_per_qumode"": 4}",{},{},[],,,{},[],60.000000000000014,60.000000000000014,0.0,0.0,0.15000000000000002,results_revision/coefficients_dirichlet_r1p4_rp0p4_b0p5_N12.json,970d00e3485fdaafc22b762fbea3fdc7d2c66b73ade3fe365108e20fe088b820,results_revision/viz_dense/scaling_dense_T1.0_N12_NF16_nt200_raw.npz,T1.0_N12_NF16_nt200,6.180581095742887e-14
